train_index,match_date,match_time,tournament,match_id,homeTeam,awayTeam,firstHalfHomeGoal,firstHalfAwayGoal,totalHomeGoal,totalAwayGoal,homeCorner,awayCorner,index,distance
768,2025-05-18,00:30:00,Brezilya Serie A,2126999,Vasco Da Gama,Fortaleza,1.0,0.0,3.0,0.0,,,768,220.49535777426246
747,2025-05-21,22:00:00,UEFA Avrupa Ligi,2134257,Tottenham,Man. United,,,,,,,747,222.50329233519219
752,2025-05-17,20:00:00,Portekiz Premier Lig,2127503,Sporting CP,V.Guimaraes,2.0,0.0,2.0,0.0,,,752,223.87366214005604
370,2025-05-17,22:00:00,Brezilya Serie A,2127000,Ceara,Recife,1.0,0.0,2.0,0.0,,,370,224.4041452380058
624,2025-05-17,14:30:00,İskoçya Premiership Şamp. Turu,2137512,Dundee Utd.,Aberdeen,2.0,1.0,2.0,1.0,,,624,227.24134328946394
19,2025-05-18,03:00:00,Brezilya Serie A,2129353,Sao Paulo,Gremio,2.0,1.0,2.0,1.0,,,19,230.74293250281798
105,2025-05-18,16:15:00,İngiltere Premier Lig,2129469,West Ham,Not. Forest,,,,,,,105,234.11359379583232
761,2025-05-19,20:30:00,Rusya Premier Ligi,2131241,L. Moskova,CSKA,,,,,,,761,234.70069982852624
166,2025-05-17,08:00:00,Japonya J. Lig,2127357,S. Hiroshima,Tokyo Verdy,2.0,1.0,2.0,1.0,,,166,235.60017338703292
776,2025-05-18,20:15:00,Belçika Pro Lig Düş./Yük. P.Off,2169232,Patro Eisden M.,Cercle Brugge,,,,,,,776,235.70976305617882
524,2025-05-17,17:15:00,İspanya La Liga 2,2129784,Deportivo,Granada,2.0,3.0,2.0,3.0,,,524,236.9337213230738
434,2025-05-17,22:00:00,Fransa Ligue 1,2129492,PSG,Auxerre,0.0,1.0,3.0,1.0,,,434,236.9658682173448
718,2025-05-18,03:30:00,ABD Major Ligi,2129884,Austin,Vancouver,0.0,0.0,0.0,0.0,,,718,237.33503934311923
7,2025-05-17,14:00:00,İsveç Superettan (2.Lig),2127682,Trelleborgs,Vasteraas,5.0,0.0,5.0,0.0,,,7,237.90184404497583
705,2025-05-18,17:30:00,İsveç Allsvenskan,2129797,Malmö,Halmstads,,,,,,,705,240.57133141752357
423,2025-05-18,21:45:00,İtalya Serie A,2129622,Fiorentina,Bologna,,,,,,,423,241.20784502167422
408,2025-05-17,17:15:00,İspanya La Liga 2,2129777,Eibar,Burgos,1.0,0.0,1.0,0.0,,,408,243.38124106019347
658,2025-05-18,20:00:00,İspanya La Liga,2129796,Las Palmas,Leganes,,,,,,,658,246.46942792159837
549,2025-05-18,09:00:00,Japonya J. Lig,2129630,Fagiano,Niigata,1.0,1.0,2.0,1.0,,,549,248.58456146752152
92,2025-05-18,18:00:00,Avusturya Bundesliga Şampiyonluk Turu,2129257,Rapid Wien,Sturm Graz,,,,,,,92,252.01165746845908
178,2025-05-20,03:30:00,"Arjantin Primera LPF, Playoff",2169873,Boca Juniors,Independiente,,,,,,,178,252.28843354383096
22,2025-05-17,08:00:00,Japonya J. Lig,2127363,Machida Zelvia,Kashiwa,3.0,0.0,3.0,0.0,,,22,254.12304165502192
598,2025-05-18,16:30:00,Almanya 2. Bundesliga,2129502,Ulm 1846,Preussen M.,,,,,,,598,258.45033062466763
344,2025-05-18,19:00:00,Türkiye Süper Lig,2129829,Galatasaray,Kayserispor,,,,,,,344,259.8015250147697
52,2025-05-17,17:00:00,Finlandiya Veikkausliiga,2127141,Helsinki,KTP,4.0,1.0,4.0,1.0,,,52,261.5051485152825
162,2025-05-17,20:00:00,Portekiz Premier Lig,2127505,S. Farense,Santa Clara,1.0,2.0,1.0,2.0,,,162,262.15519392146325
352,2025-05-19,02:30:00,Brezilya Serie A,2129351,Cruzeiro,A.Mineiro,,,,,,,352,264.43675009347686
293,2025-05-18,19:00:00,Türkiye Süper Lig,2129826,Alanyaspor,Beşiktaş,,,,,,,293,269.3250864661516
400,2025-05-17,14:00:00,Çin Süper Ligi,2127031,Changchun Y.,Tianjin Teda,1.0,2.0,1.0,2.0,,,400,271.781955802809
509,2025-05-18,20:00:00,İspanya La Liga,2129791,Sevilla,Real Madrid,,,,,,,509,274.2765325360521
419,2025-05-17,09:00:00,Japonya J. Lig,2127362,Sh Bellmare,Yokohama,0.0,1.0,0.0,1.0,,,419,274.30048979176104
338,2025-05-16,19:00:00,Norveç Eliteserien,2125756,Fredrikstad,KFUM Oslo,1.0,0.0,1.0,0.0,,,338,275.7892215080205
721,2025-05-18,21:45:00,İtalya Serie A,2129625,Verona,Como,,,,,,,721,279.5108001491176
156,2025-05-20,01:00:00,"Arjantin Primera LPF, Playoff",2169874,Argentinos J.,San Lorenzo,,,,,,,156,280.80866546458276
261,2025-05-17,08:30:00,Japonya J. Lig,2127360,Fukuoka,Nagoya,1.0,1.0,1.0,1.0,,,261,281.4223818391138
767,2025-05-18,20:00:00,İspanya La Liga,2129795,Mallorca,Getafe,,,,,,,767,286.24480746382113
91,2025-05-19,01:00:00,"Arjantin Primera LPF, Playoff",2169906,Rosario C.,Huracan,,,,,,,91,292.30029062592473
786,2025-05-16,19:00:00,Norveç Eliteserien,2125751,Rosenborg,Haugesund,1.0,0.0,1.0,0.0,,,786,298.6120553494115
475,2025-05-16,20:00:00,İsveç Superettan (2.Lig),2125799,Falkenbergs,Kalmar,0.0,0.0,0.0,0.0,,,475,299.1699299729169
318,2025-05-19,04:00:00,ABD Major Ligi,2131260,LA Galaxy,Los Angeles,,,,,,,318,299.8309233551469
492,2025-05-18,17:00:00,İskoçya Premiership Düşme Turu,2137510,ST Johnstone,Dundee,,,,,,,492,302.9225772371548
379,2025-05-18,18:00:00,Yunanistan Süper Ligi Düşme Grubu,2129580,Lamia,Panaitolikos,,,,,,,379,305.46285715287877
703,2025-05-18,19:00:00,Danimarka Süper Lig Şampiyonluk Turu,2129456,Randers,Kopenhag,,,,,,,703,307.913208388338
137,2025-05-16,20:00:00,Finlandiya Veikkausliiga,2125660,Haka,Kuopion ,0.0,1.0,1.0,3.0,,,137,310.31682374631265
124,2025-05-17,19:30:00,İspanya La Liga 2,2129785,Huesca,Elche,2.0,1.0,2.0,1.0,,,124,310.65112940403094
392,2025-05-18,17:30:00,İsveç Allsvenskan,2129798,Osters,Gais,,,,,,,392,318.83464727033675
404,2025-05-19,00:30:00,Brezilya Serie A,2129350,Bragantino,Palmeiras,,,,,,,404,320.02169004615945
741,2025-05-18,22:00:00,Brezilya Serie A,2129347,Juventude,Fluminense,,,,,,,741,320.51490012166363
711,2025-05-18,19:30:00,Belçika Pro Lig Şampiyonluk Turu,2129263,KAA Gent,Genk,,,,,,,711,322.3044040965001
671,2025-05-17,22:00:00,Fransa Ligue 1,2129494,Lens,Monaco,1.0,0.0,4.0,0.0,,,671,322.63378108933364
430,2025-05-17,13:00:00,Güney Kore K-Lig 1,2127659,Gangwon,Ulsan Hora,1.0,1.0,1.0,1.0,,,430,325.9779622919316
529,2025-05-17,19:30:00,İspanya La Liga 2,2129779,Cartagena,Tenerife,1.0,0.0,1.0,0.0,,,529,326.0936212194284
219,2025-05-17,14:00:00,Rusya Premier Ligi,2127577,Orenburg,Krasnodar,1.0,2.0,1.0,2.0,,,219,335.40817193383947
725,2025-05-18,16:30:00,Almanya 2. Bundesliga,2129504,Karlsruhe,Paderborn,,,,,,,725,336.5154000933686
24,2025-05-16,19:00:00,Norveç Eliteserien,2125754,Tromso IL,Bodo Glimt,0.0,1.0,2.0,1.0,,,24,344.4708581288118
753,2025-05-17,18:30:00,İngiltere Federasyon Kupası,2153102,Cry. Palace,Man. City,1.0,0.0,1.0,0.0,,,753,347.802574889836
391,2025-05-17,21:45:00,İtalya Serie A,2129618,Genoa,Atalanta,1.0,0.0,2.0,3.0,,,391,353.2566258401957
482,2025-05-17,21:45:00,Belçika Pro Lig Şampiyonluk Turu,2126962,Antwerp,U.S Gilloise,0.0,3.0,0.0,4.0,,,482,354.611657450795
604,2025-05-16,21:45:00,İrlanda Premier Lig,2125716,Drogheda,Derry City,1.0,0.0,1.0,1.0,,,604,357.49112254712
287,2025-05-18,10:30:00,Güney Kore K-Lig 1,2129738,Daegu,Seoul,0.0,0.0,0.0,1.0,,,287,362.0303494183879
260,2025-05-18,16:30:00,Almanya 2. Bundesliga,2129498,Schalke,Elversberg,,,,,,,260,365.1340206006557
611,2025-05-18,20:00:00,İspanya La Liga,2129787,R. Valladolid,Alaves,,,,,,,611,370.6604647113041
719,2025-05-17,20:00:00,Portekiz Premier Lig,2127508,Braga,Benfica,1.0,1.0,1.0,1.0,,,719,376.14176715701217
279,2025-05-17,16:30:00,Almanya Bundesliga,2127176,Hoffenheim,Bayern Münih,0.0,4.0,0.0,4.0,,,279,382.22404189166326
217,2025-05-18,19:00:00,Rusya Premier Ligi,2129695,Rostov,Zenit,,,,,,,217,386.5490407438622
523,2025-05-18,18:00:00,Avusturya Bundesliga Şampiyonluk Turu,2129258,BW Linz,Salzburg,,,,,,,523,395.0682122115117
763,2025-05-16,21:45:00,İrlanda Premier Lig,2125719,Waterford,Shamrock,1.0,1.0,1.0,3.0,,,763,399.8453753640275
777,2025-05-17,13:00:00,Çin Süper Ligi,2127027,Dalian Zhixing,S. Shenhua,0.0,3.0,0.0,3.0,,,777,402.1775451215546
544,2025-05-18,21:45:00,İtalya Serie A,2129617,Parma,Napoli,,,,,,,544,410.3577279642726
163,2025-05-17,14:35:00,Çin Süper Ligi,2127032,Qingdao Jon.,Beijin Guoan,1.0,1.0,1.0,1.0,,,163,456.97962088040646
184,2025-05-17,20:00:00,Yunanistan Kupası,2127295,Ofi Crete,Olympiakos,0.0,2.0,0.0,2.0,,,184,470.2386373959503
