match_id,match_date,match_time,hometeam,awayteam,bet_name,probability,odds,EV,Kelly,stake,bankroll_if_win,bankroll_if_lose,expected_bankroll,
2285985,2025-09-12,17:30:00,Rudes,NK Dubrava,Maç Sonucu :: MS X,42,"2,86","1,2012","0,108172043010753","10,8172043010753","1,2012","0,891827956989247","1,02176421505376",
2339612,2025-09-12,17:30:00,Tractor FC,Aluminium Arak,Deplasman Hangi Yarıda Daha Fazla Gol Atar? :: 1. Yarı,28,"4,51","1,2628","0,0748717948717949","7,48717948717949","1,2628","0,925128205128205","1,01967630769231",
2255710,2025-09-12,18:00:00,Itt. Tanger,Hassania A,"Ev Sahibi Gol Alt/Üst :: Ev 1,5 Üst",46,"2,37","1,0902","0,0658394160583942","6,58394160583942","1,0902","0,934160583941606","1,00593871532847",
2282093,2025-09-12,18:00:00,Nevesis,FK Babrungas Plunge,"Toplam Gol Alt/Üst :: 2,5 Alt",51,"1,98","1,0098","0,01",1,"1,0098","0,99","1,000098",
2282189,2025-09-12,18:00:00,FK Ekranas,FK Transinvest,İkinci Yarı Sonucu :: 2.Y 1,17,"8,96","1,5232","0,0657286432160804","6,57286432160804","1,5232","0,93427135678392","1,03438922613065",
2284739,2025-09-12,18:00:00,LKS Lodz II,Olimpia,Hangi Yarıda Daha Fazla Gol Atılır? :: Eşit,33,"3,05","1,0065","0,0031707317073171","0,31707317073171","1,0065","0,996829268292683","1,0000206097561",
2349006,2025-09-12,18:00:00,Al Shahaniya,Al Sadd,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",63,"1,79","1,1277","0,161645569620253","16,1645569620253","1,1277","0,838354430379747","1,02064213924051",
2359674,2025-09-12,18:00:00,Olympique Akbou,MC Alger,"Toplam Gol Alt/Üst :: 2,5 Üst",46,"2,93","1,3478","0,18020725388601","18,020725388601","1,3478","0,81979274611399","1,06267608290155",
2359688,2025-09-12,18:00:00,Ben Aknoun,Paradou AC,"Ev Sahibi Gol Alt/Üst :: Ev 1,5 Üst",45,"2,37","1,0665","0,0485401459854015","4,85401459854015","1,0665","0,951459854014599","1,00322791970803",
2282262,2025-09-12,18:25:00,Al Jahra,Al Fehaheel,Hangi Yarıda Daha Fazla Gol Atılır? :: 1. Yarı,42,"2,71","1,1382","0,0808187134502923","8,08187134502923","1,1382","0,919181286549708","1,01116914619883",
2305719,2025-09-12,18:25:00,Al-Jabil,Jeddah Club,"Ev Sahibi Gol Alt/Üst :: Ev 1,5 Üst",49,"2,2","1,078","0,065","6,5","1,078","0,935","1,00507",
2305744,2025-09-12,18:25:00,Al Ettifaq,Ahli Saudi,Maç Sonucu ve Karşılıklı Gol :: MS X ve Yok,8,"15,75","1,26","0,0176271186440678","1,76271186440678","1,26","0,982372881355932","1,00458305084746",
2282336,2025-09-12,18:30:00,La Viena,Maleyat Kafr,Maç Sonucu :: MS X,39,"2,74","1,0686","0,0394252873563219","3,94252873563219","1,0686","0,960574712643678","1,00270457471264",
2339583,2025-09-12,18:30:00,Kheybar FC,Fajr Sepasi FC,"Maç Sonucu ve 1,5 Gol Alt/Üst :: MS X ve 1,5 Alt",24,"5,11","1,2264","0,0550851581508516","5,50851581508516","1,2264","0,944914841849148","1,01247127980535",
2339620,2025-09-12,18:30:00,GOL Gohar,Sepehan,"Toplam Gol Alt/Üst :: 2,5 Üst",51,"2,57","1,3107","0,197898089171975","19,7898089171975","1,3107","0,802101910828026","1,06148693630573",
2372541,2025-09-12,18:30:00,EIF,Salpa,"Maç Sonucu ve 1,5 Gol Alt/Üst :: MS 2 ve 1,5 Alt",7,"22,8","1,596","0,0273394495412844","2,73394495412844","1,596","0,972660550458716","1,01629431192661",
2372542,2025-09-12,18:30:00,PK-35,Kapa,Maç Sonucu ve Karşılıklı Gol :: MS X ve Yok,6,"19,8","1,188","0,01",1,"1,188","0,99","1,00188",
2305702,2025-09-12,18:35:00,Al Shabab,Al Hazem,Maç Sonucu ve Karşılıklı Gol :: MS 2 ve Var,16,"7,98","1,2768","0,0396561604584527","3,96561604584527","1,2768","0,960343839541547","1,0109768252149",
2282127,2025-09-12,19:00:00,St. Polten,SV Stripfing,İlk Yarı Skoru :: 1-2,7,33,"2,31","0,0409375","4,09375","2,31","0,9590625","1,053628125",
2282190,2025-09-12,19:00:00,Jihlava,SK Slavia Praha B,Maç Sonucu :: MS X,32,"3,13","1,0016","0,000751173708920209","0,0751173708920209","1,0016","0,99924882629108","1,00000120187793",
2282246,2025-09-12,19:00:00,Aus Lustenau,Sturm Gr.(A),"Maç Sonucu ve 3,5 Gol Alt/Üst :: MS X ve 3,5 Alt",26,"5,32","1,3832","0,0887037037037037","8,87037037037037","1,3832","0,911296296296296","1,03399125925926",
2282319,2025-09-12,19:00:00,Unia Skier,Hutnik Krak,"Karşılıklı Gol ve 2,5 Gol Alt/Üst :: 2,5 Üst ve KG Yok",18,"6,96","1,2528","0,0424161073825503","4,24161073825503","1,2528","0,95758389261745","1,01072279194631",
2282327,2025-09-12,19:00:00,Amstetten,R. Wien II,"Karşılıklı Gol ve 2,5 Gol Alt/Üst :: 2,5 Alt ve KG Var",19,"7,81","1,4839","0,071057268722467","7,1057268722467","1,4839","0,928942731277533","1,0343846123348",
2282359,2025-09-12,19:00:00,Suduva,Panevezys,Maç Sonucu :: MS X,37,"3,07","1,1359","0,0656521739130434","6,56521739130434","1,1359","0,934347826086957","1,00892213043478",
2282546,2025-09-12,19:00:00,Hegelmann Litauen B,FA Siauliai B,Maç Sonucu :: MS X,36,"3,31","1,1916","0,0829437229437229","8,2943722943723","1,1916","0,917056277056277","1,01589201731602",
2282714,2025-09-12,19:00:00,Kapfenberg,Hertha Wels,Maç Skoru :: 0:3,6,"35,5","2,13","0,0327536231884058","3,27536231884058","2,13","0,967246376811594","1,0370115942029",
2288469,2025-09-12,19:00:00,Hallescher,Chem Leipzig,İkinci Yarı Sonucu :: 2.Y 2,12,"11,55","1,386","0,0365876777251185","3,65876777251185","1,386","0,963412322274882","1,0141228436019",
2288729,2025-09-12,19:00:00,R. Kazan,D. Makhachkala,İlk Yarı Skoru :: 1-2,6,"42,5","2,55","0,0373493975903614","3,73493975903614","2,55","0,962650602409639","1,05789156626506",
2328627,2025-09-12,19:00:00,Karabağ,Zira FK,"Deplasman İlk Yarı Gol Alt/Üst :: Dep İY 0,5 Üst",37,"2,87","1,0619","0,0331016042780749","3,31016042780749","1,0619","0,966898395721925","1,00204898930481",
2332704,2025-09-12,19:00:00,Torp. Moskova,Volga Ulyan.,Maç Sonucu :: MS 2,32,"4,24","1,3568","0,110123456790124","11,0123456790124","1,3568","0,889876543209877","1,03929204938272",
2357642,2025-09-12,19:00:00,Jazz,Atlantis,Maç Sonucu ve Karşılıklı Gol :: MS X ve Yok,7,"22,35","1,5645","0,026440281030445","2,6440281030445","1,5645","0,973559718969555","1,01492553864169",
