match_id,match_date,match_time,hometeam,awayteam,bet_name,probability,odds,EV,Kelly,stake,bankroll_if_win,bankroll_if_lose,expected_bankroll
2306021,2025-09-20,14:00:00,Bergnasets Aik,Lucksta IF,Maç Sonucu :: MS X,31.0,3.36,1.0415999999999999,0.017627118644067786,1.7627118644067785,1.0415999999999999,0.9823728813559323,1.000733288135593
2327127,2025-09-20,14:00:00,Lamphun Warrior,Nakhon Ratch,İkinci Yarı Sonucu :: 2.Y 2,24.0,4.23,1.0152,0.004705882352941207,0.47058823529412075,1.0152,0.9952941176470588,1.0000715294117648
2386961,2025-09-20,14:00:00,Academy Minsk U19,UNI Minsk,Maç Sonucu :: MS 2,51.0,2.07,1.0556999999999999,0.05205607476635512,5.205607476635512,1.0556999999999999,0.9479439252336449,1.002899523364486
2299781,2025-09-20,14:30:00,Leicester,Coventry City,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,64.0,1.57,1.0048000000000001,0.00842105263157909,0.8421052631579089,1.0048000000000001,0.9915789473684209,1.0000404210526317
2299865,2025-09-20,14:30:00,Blackpool,Barnsley,Hangi Yarıda Daha Fazla Gol Atılır? :: 1. Yarı,37.0,2.71,1.0027,0.0015789473684210086,0.15789473684210087,1.0027,0.998421052631579,1.0000042631578947
2300034,2025-09-20,14:30:00,Nizhny Nov.,Akhmat G.,Toplam Gol Tek/Çift :: Tek,62.0,1.72,1.0664,0.09222222222222216,9.222222222222216,1.0664,0.9077777777777778,1.0061235555555554
2300305,2025-09-20,14:30:00,Birmingham,Swansea,"Toplam Gol Alt/Üst :: 1,5 Üst",79.0,1.28,1.0112,0.04000000000000025,4.000000000000025,1.0112,0.9599999999999997,1.000448
2300533,2025-09-20,14:30:00,Liverpool,Everton,İkinci Yarı Karşılıklı Gol :: 2.Y KG Var,34.0,2.97,1.0098,0.004974619289340173,0.4974619289340173,1.0098000000000003,0.9950253807106598,1.0000487512690355
2300550,2025-09-20,14:30:00,Lincoln,Luton Town,Toplam Gol Tek/Çift :: Tek,63.0,1.69,1.0647,0.09376811594202897,9.376811594202897,1.0647,0.9062318840579711,1.0060667971014492
2300588,2025-09-20,14:30:00,Harrogate,Shrewsbury,"Toplam Gol Alt/Üst :: 2,5 Üst",58.0,1.82,1.0556,0.06780487804878046,6.780487804878047,1.0556,0.9321951219512196,1.0037699512195122
2300593,2025-09-20,14:30:00,Bolton,Wigan Ath.,İkinci Yarı Karşılıklı Gol :: 2.Y KG Var,36.0,2.91,1.0476,0.02492146596858637,2.492146596858637,1.0476,0.9750785340314136,1.0011862617801048
2300617,2025-09-20,14:30:00,QPR,Stoke City,"Toplam Gol Alt/Üst :: 2,5 Üst",60.0,1.82,1.092,0.11219512195121947,11.219512195121947,1.092,0.8878048780487805,1.0103219512195123
2300764,2025-09-20,14:30:00,Cambridge,Fleetwood,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70.0,1.55,1.085,0.15454545454545446,15.454545454545446,1.085,0.8454545454545456,1.0131363636363637
2300848,2025-09-20,14:30:00,Brackley,Sutton United,Maç Sonucu :: MS X,32.0,3.15,1.008,0.0037209302325581428,0.3720930232558143,1.008,0.9962790697674418,1.0000297674418603
2301206,2025-09-20,14:30:00,VSK Aarhus,Ishoej IF,İkinci Yarı Karşılıklı Gol :: 2.Y KG Var,37.0,2.73,1.0101,0.00583815028901734,0.583815028901734,1.0101,0.9941618497109826,1.000058965317919
2301223,2025-09-20,14:30:00,Hebei Kungfu,Guangxi Bao,Hangi Yarıda Daha Fazla Gol Atılır? :: 1. Yarı,37.0,2.78,1.0286,0.016067415730337056,1.6067415730337056,1.0286,0.9839325842696629,1.0004595280898876
