match_id,match_date,match_time,hometeam,awayteam,bet_name,probability,odds,EV,Kelly,stake,bankroll_if_win,bankroll_if_lose,expected_bankroll
2307885,2025-09-20,13:30:00,Eastern District,Hong Kong FC,İkinci Yarı Karşılıklı Gol :: 2.Y KG Var,37.0,2.78,1.0286,0.016067415730337056,1.6067415730337056,1.0286,0.9839325842696629,1.0004595280898876
2299786,2025-09-20,14:00:00,S. Dongwu,Qingdao Red,"Maç Sonucu ve 2,5 Gol Alt/Üst :: MS 2 ve 2,5 Alt",11.0,9.55,1.0505000000000002,0.005906432748538023,0.5906432748538023,1.0505,0.994093567251462,1.0002982748538012
2299832,2025-09-20,14:00:00,Thanh Hoa,Hai Phong,İkinci Yarı Sonucu :: 2.Y 2,43.0,2.59,1.1137,0.0715094339622641,7.15094339622641,1.1137,0.9284905660377359,1.0081306226415094
2300030,2025-09-20,14:00:00,Aarhus Frem,Hobro IK,Maç Skoru :: 2:4,4.0,95.0,3.8,0.029787234042553193,2.9787234042553195,3.8000000000000003,0.9702127659574468,1.0834042553191487
2300064,2025-09-20,14:00:00,Milan U20,Frosinone U20,Maç Sonucu :: MS X,31.0,3.61,1.1191,0.04563218390804597,4.563218390804598,1.1191,0.954367816091954,1.0054347931034482
2300153,2025-09-20,14:00:00,Hertha Berlin,Paderborn,Maç Skoru :: 0:5,3.0,130.0,3.9,0.022480620155038756,2.2480620155038755,3.8999999999999995,0.9775193798449613,1.0651937984496123
2300244,2025-09-20,14:00:00,PK-35,Klubi 04,"Karşılıklı Gol ve 2,5 Gol Alt/Üst :: 2,5 Üst ve KG Yok",18.0,8.06,1.4508,0.06385269121813032,6.385269121813033,1.4508,0.9361473087818697,1.0287847932011331
2300279,2025-09-20,14:00:00,Shaanxi Union,Y. Longding,"Maç Sonucu ve 2,5 Gol Alt/Üst :: MS 2 ve 2,5 Üst",15.0,8.42,1.263,0.035444743935309976,3.5444743935309977,1.263,0.9645552560646901,1.0093219676549865
2300411,2025-09-20,14:00:00,FK Tukums 2000/Tss,FS Metta LU,Maç Sonucu :: MS X,36.0,3.25,1.17,0.07555555555555553,7.555555555555553,1.17,0.9244444444444445,1.0128444444444444
2300450,2025-09-20,14:00:00,Fjora ,Bjarg,"Deplasman Gol Alt/Üst :: Dep 3,5 Alt",74.0,1.57,1.1618000000000002,0.2838596491228071,28.38596491228071,1.1618,0.7161403508771929,1.0459284912280702
